nome_cliente;date;alunos_ativos;total_em_recibo_venda;total_em_recebiveis;total_valor_cartao_credito_maquina;total_valor_cartao_credito_recorrencia;total_conta_pagar
22029;2020/06;0;0;0;;;
22038;2020/06;0;0;0;0;0;0
Espaço Aquático Riviera;2020/06;0;0;0;0;0;0
box cross moreninhas;2020/06;0;0;0;0;0;0
Bryan - Porto Personal Fight 2;2020/06;0;0;0;0;0;0
Bebox;2020/06;0;0;0;0;0;0
22063;2020/06;0;0;0;;;
Leading Fitness Cursos e Treinamentos Ltda;2020/06;0;0;0;0;0;0
22098;2020/06;0;0;0;0;0;0
Studio Training;2020/06;0;0;0;0;0;0
João Victor Costa;2020/06;0;0;0;;;
Escolinha independente;2020/06;0;0;0;0;0;0
22211;2020/06;0;0;0;;;
22229;2020/06;0;0;0;;;
IPE CROSS TRAINING;2020/06;0;0;0;0;0;0
Life Academia;2020/06;185;9003;8691;1990;0;2220
NAMASTE ESPORTE E LAZER LTDA;2020/06;0;0;0;0;0;0
22274;2020/06;0;0;0;;;
22278;2020/06;0;0;0;;;
22292;2020/06;0;0;0;0;0;0
Physis Clube de Treinamento;2020/06;0;0;0;0;0;0
ERIVELTON RODOLFO FERREIRA DA LUZ;2020/06;0;0;0;0;0;0
Top Fit Academia;2020/06;0;0;0;0;0;0
22343;2020/06;0;0;0;0;0;0
22350;2020/06;0;0;0;0;0;0
Michel Vaz Franco Martins;2020/06;0;0;0;0;0;0
22357;2020/06;0;0;0;;;
Studio Power Fitness;2020/06;0;0;0;0;0;0
22381;2020/06;0;0;0;;;
Star Fit Academia;2020/06;0;0;0;0;0;0
KILLER BEES CAMPO LARGO;2020/06;0;0;0;0;0;0
CT SINTONIA FITNESS;2020/06;0;0;0;;;0
CARDIOFIT - Reabilitação e Condicionamento Físico;2020/06;0;0;0;0;0;0
22406;2020/06;0;0;0;0;0;0
Tecpulse Eletroestimulacao;2020/06;0;0;0;0;0;0
22440;2020/06;0;0;0;;;
22442;2020/06;0;0;0;0;0;0
22453;2020/06;0;0;0;0;0;0
22467;2020/06;0;0;0;;;
22471;2020/06;0;0;0;;;
22497;2020/06;0;0;0;;;
22565;2020/06;0;0;0;0;0;0
Centro de treinamento Pantera;2020/06;0;0;0;0;0;0
22574;2020/06;0;0;0;;;
22587;2020/06;0;0;0;0;0;0
22595;2020/06;0;0;0;0;0;0
22601;2020/06;0;0;0;;;
22603;2020/06;0;0;0;;;
22604;2020/06;0;0;0;;;
22607;2020/06;0;0;0;0;0;0
22610;2020/06;0;0;0;;;
22634;2020/06;0;0;0;;;
22654;2020/06;0;0;0;;;
22656;2020/06;0;0;0;;;
22658;2020/06;0;0;0;0;0;0
22661;2020/06;0;0;0;0;0;0
22700;2020/06;0;0;0;;;
22702;2020/06;0;0;0;;;
22704;2020/06;0;0;0;;;
22715;2020/06;0;0;0;;;
22730;2020/06;0;0;0;;;
22795;2020/06;0;0;0;;;
22803;2020/06;0;0;0;;;
22804;2020/06;0;0;0;;;
22805;2020/06;0;0;0;0;0;0
22808;2020/06;0;0;0;;;
22840;2020/06;0;0;0;0;0;0
22923;2020/06;0;0;0;;;
22928;2020/06;0;0;0;0;0;0
22929;2020/06;0;0;0;0;0;0
22933;2020/06;0;0;0;;;
22990;2020/06;0;0;0;;;
23026;2020/06;0;0;0;;;
23027;2020/06;0;0;0;;;
ACADEMIA CLUB FITNESS CURITIBA;2020/07;31;678;3350;210;3140;0
18 PHD SPORTS - AV. MARINGÁ - PINHAIS 3;2020/07;560;30071;39878;7614;27093;7792
LIVING FITNESS;2020/07;156;6521;12268;6838;3358;0
04 PHD SPORTS - JOÃO NEGRÃO - CENTRO 5;2020/07;435;8769;12912;1216;10272;6656
Associação Atlética Banco do Brasil;2020/07;11;0;0;0;0;0
ACADEMIA ONE;2020/07;660;74471;80506;5307;45183;92784
UELFIT Academia;2020/07;11;1209;1209;0;0;0
MEGA FITNESS;2020/07;112;11130;12879;4560;3456;0
ENERGYN ACADEMIA;2020/07;493;23105;40529;16470;20670;0
Power Fit Academia;2020/07;175;8968;8964;0;81;0
GO FITNESS;2020/07;1046;10343;36332;33281;0;0
Academia 4Fitness;2020/07;128;7126;13984;10238;563;7547
ESPACO ATIVO;2020/07;56;303;4417;4218;0;0
10 PHD SPORTS - ALTO DA XV 24;2020/07;284;16694;23716;2138;20055;12719
The Factory Gym;2020/07;229;34980;45999;31645;7620;0
ACADEMIA FENIX;2020/07;96;5295;9329;4724;0;0
JF STRONG GYM;2020/07;107;9963;10931;2346;0;0
INFITINESS ACADEMIA;2020/07;165;13808;15954;5200;7554;0
HR STUDIO;2020/07;59;13953;13619;0;11434;11127
World Gym;2020/07;1095;21817;104483;93817;0;91700
Academia Oxygym;2020/07;502;10104;38694;31208;4001;32061
ACADEMIA IMPACTO;2020/07;84;8568;7989;945;0;750
Ace Fit Club;2020/07;243;20832;22960;8733;1029;3952
ASSOCIACAO BUJIN DO KAN DE KARATE;2020/07;0;0;0;;;
CT MOVE TREINAMENTO FUNCIONAL;2020/07;67;21873;14701;2162;6698;10874
BE BOLD HARDTRAINING;2020/07;19;2133;3273;1113;390;0
CENTRO DE KRAV MAGA DO PARANA;2020/07;99;15442;16452;851;11300;19793
CrossFit SANJA;2020/07;95;17347;18283;562;13350;4906
STRIKER'S HOUSE;2020/07;96;6525;7137;1061;0;0
AQUAFLEX ACADEMIA;2020/07;519;13492;41606;31484;1062;0
BRAVUS CLUB;2020/07;160;20972;21449;2332;18754;0
DMIX FITNESS 1;2020/07;97;8207;7700;1276;460;450
CENA;2020/07;137;1136;23541;21012;0;0
FIT COMPANY;2020/07;1263;59490;100925;78825;0;66646
FIELD FITNESS;2020/07;369;4640;24741;17796;1170;0
CWB Defense;2020/07;86;10253;14531;1683;10762;15417
FISIOMASTER JARDIM;2020/07;208;49121;46018;10681;0;0
Galpão 898;2020/07;47;10409;13528;3577;0;6868
SPACE GYM BACACHERI;2020/07;527;11314;31073;25751;672;0
THE KING GYM;2020/07;163;15114;14856;4267;4953;0
LIFE TEAM;2020/07;73;10452;7542;3249;0;0
NARA GUEDES BRANDAO - ME;2020/07;21;2950;4995;0;0;0
ACADEMIA UP BY GURIK;2020/07;187;21841;22196;5277;1482;0
Fisiomaster Praia;2020/07;121;6893;22280;10083;2350;0
Esporte Clube XV de Novembro de Jaú;2020/07;0;0;0;;;0
CIA DO CORPO ACADEMIA;2020/07;33;0;0;0;0;0
Hama Pilates Sede;2020/07;125;47875;47447;0;0;32248
Bio Aventura;2020/07;181;9353;14505;6131;5184;30514
Torga Squash Fit;2020/07;133;20641;20641;0;0;0
Natural Done;2020/07;54;9793;11291;0;7963;0
CROSSFIT PORTAO;2020/07;95;8953;21110;9914;7925;0
06 PHD SPORTS - FILIPINAS - CAJURU 181;2020/07;232;12011;14676;767;12311;13402
Wah Lum Kung Fu Brasil;2020/07;12;3331;3871;539;0;0
Escola HidrosFera - Natação e Hidroginástica;2020/07;569;482;31328;0;0;20880
CF GALÁTICOS;2020/07;36;5763;8627;2938;3970;0
Academia Thai Brasil;2020/07;501;9540;45796;39482;1933;800
SIMIONI TEAM;2020/07;108;5645;6287;1058;0;260
Academia Fênix;2020/07;7;0;500;500;0;0
BLACK BELT MMA SCHOOL;2020/07;103;0;8137;4244;0;0
Xperience Sports Center;2020/07;37;4126;6103;0;5696;204
Academia Corpus;2020/07;161;12536;13605;4328;649;0
ZANELLA FITNESS;2020/07;702;35872;48068;31699;0;41120
PARREIRAS SPORTS e COMMUNITY FIT;2020/07;98;13639;9086;1685;0;0
Training Tech Fitness Center;2020/07;90;12195;25827;9476;2991;48052
SPORT COMPANY NATAÇÃO E GINASTICA S/C LTDA;2020/07;30;0;1896;994;0;0
GALLE PERSONAL STUDIO;2020/07;5;1613;1613;0;0;0
Academia Vip Fit;2020/07;116;8533;12118;1662;9310;0
CLÍNICA SENIOR GYM;2020/07;56;18198;19696;12805;0;15323
Academia Workout Fit;2020/07;31;1945;2245;918;0;0
Academia Movimentacao;2020/07;844;77881;91116;3686;77688;86717
Cross Roncador;2020/07;90;15338;15135;1490;5038;11338
Academia Physical Life;2020/07;104;2094;4605;2028;2577;0
MUSCLE PLUS ACADEMIA;2020/07;57;2636;2817;436;0;0
ACADEMIA LB ESPORTES;2020/07;231;21715;29342;16386;0;2401
TopFlex Academia;2020/07;106;8387;7584;65;663;1435
CHINA TEAM;2020/07;46;9554;8866;159;2146;8113
Conquiste Saúde;2020/07;291;28943;27455;474;18321;34069
Academia VIVA+;2020/07;366;7748;13121;7073;0;9301
OMNI ACADEMIA;2020/07;114;9100;12233;1984;9332;6677
IMPERIO FITNESS;2020/07;91;10240;9547;508;0;0
Academia Mbrasil;2020/07;246;15660;22828;13433;1649;6209
StrongerFit;2020/07;87;10840;10840;0;0;0
ACADEMIA SHAPE;2020/07;106;9696;11788;263;8386;0
BODY ONE FIT;2020/07;207;7124;18260;12948;1871;669
Cia da Forma;2020/07;278;7128;16161;10025;2442;0
UNDER PRESSURE;2020/07;101;6849;8081;673;3470;4396
Espaço Mov;2020/07;33;23167;22674;0;0;26969
ACADEMIA CORPORYUM;2020/07;246;10377;15762;3461;10869;31835
Academia Sparta fit;2020/07;18;2950;2685;1366;0;2133
FIT COMPANY (FILIAL);2020/07;687;19780;37277;25500;1900;14970
Bona Crossfit;2020/07;95;14012;14925;1178;3584;24182
NATSU ACADEMIA;2020/07;124;8578;11195;3717;0;0
Greenfit Academia;2020/07;127;9609;11468;1290;6815;0
Via Água Club;2020/07;142;17551;31112;8553;0;92
Elton Marinato Studio Funcional;2020/07;49;7633;7530;0;318;44
PER4MANCE ACADEMIA;2020/07;2;0;0;3518;0;0
FORCE FITNESS;2020/07;246;17228;17701;3112;0;159
07 PHD SPORTS - PEDRO IVO - CENTRO 436;2020/07;216;6721;9243;1421;6226;9152
Battlefield Gym;2020/07;12;0;2170;1591;316;0
CrossFit Lion's Fire;2020/07;51;6812;11866;4268;5374;24822
Vitae Academia;2020/07;199;16335;14715;5171;0;404
Crossfit V6;2020/07;155;0;36709;27839;0;57447
EFFICIENCY GYM;2020/07;219;7092;16622;10129;0;0
09 PHD SPORTS - GUABIROTUBA 453;2020/07;365;24833;32745;1762;30357;17944
UPLAY FITNESS - GUARAPUAVA;2020/07;1225;102561;106141;71087;3676;0
FIVE ONE FITNESS;2020/07;176;9986;21880;13201;5120;20593
Alliance Lago Norte;2020/07;15;0;2852;2852;0;0
OnLife Funcional Fitness Clube;2020/07;257;32027;27747;296;10962;55563
ESPAÇO ATIVO PILATES;2020/07;43;9484;10427;1941;3154;0
XTREME FIGHT & FITNESS;2020/07;16;0;0;0;0;0
DASFIT TREINAMENTO FUNCIONAL;2020/07;93;22170;22426;3259;5000;13686
INSANIT GYM;2020/07;39;1540;3898;2385;0;12176
FLAME POLE STUDIO;2020/07;30;3765;3765;0;0;0
UPLAY FITNESS - PINHAIS;2020/07;530;16500;39269;28562;1675;33293
19 PHD SPORTS - LEOPOLDO JACOMEL - PINHAIS 495;2020/07;487;45395;55982;3903;38349;37132
EAGLES CROSS TRAINING;2020/07;42;3360;3407;1432;0;0
Ecolife Saude;2020/07;35;590;10826;7470;574;0
Flow Inn Estudio;2020/07;7;8780;8067;0;0;6136
FIT PREMIUM - MERCES;2020/07;207;14125;35648;22704;11445;0
ACADEMIA GIGAFIT;2020/07;72;0;6694;6694;0;0
Cl Fitness;2020/07;9;13465;13465;0;0;324
Academia Via Mulher;2020/07;11;885;1662;538;547;3775
Academia Max Sports;2020/07;25;0;0;121;0;169
WM FItness;2020/07;842;25927;30553;12697;14110;0
CROSS EXTRA HARD;2020/07;85;14830;14830;0;0;0
ACADEMIA CGE;2020/07;12;140;137;0;0;6472
Una Studio;2020/07;23;6123;5592;0;2939;0
Crossfit Kerberos;2020/07;43;5699;8243;5546;1544;7822
Studio Personality;2020/07;19;6496;6636;0;2707;0
Graciosa Country Club;2020/07;376;0;0;0;0;0
WM HEALTH;2020/07;266;7844;6659;5840;0;2960
F2 Academia;2020/07;47;7162;8556;1941;0;11725
Joy - Treinamento Funcional e Pilates;2020/07;34;5157;5152;181;0;0
Moove Treinamento Funcional;2020/07;38;7123;7130;703;3520;5233
Academia Body Fit - Unidade 1;2020/07;70;131;10019;8971;655;0
KOMANDOS BRASILFIT;2020/07;17;4560;1824;0;618;0
UP! Fitness;2020/07;6;0;359;359;0;0
RH PRO STUDIO;2020/07;78;14511;15199;0;5276;10500
Studio Chronos Panamby;2020/07;33;26582;17564;6584;0;0
Crossfit Silver Lake;2020/07;52;11020;11296;0;0;5088
IMA;2020/07;23;2465;2501;0;871;0
STRONGER CROSS;2020/07;22;3457;3780;0;1279;0
ESCOLINHA DE FUTEBOL AMÉRICA;2020/07;51;1040;4436;3151;1285;0
EQUILIBRIUM SPRADA;2020/07;233;13167;15986;1102;11557;50
Cerrado Crossfit;2020/07;42;13443;11700;0;0;0
Fênix Centro de Treinamento;2020/07;35;5148;5352;1359;0;4006
03 PHD SPORTS - SANTA QUITÉRIA 902;2020/07;445;18079;23533;753;19874;12869
WS NATAÇÃO;2020/07;227;355;25033;20678;0;32522
Vstrong;2020/07;65;15867;13152;409;10063;6317
Forseti Centro de Treinamento;2020/07;192;14803;16087;1824;4145;17945
02 PHD SPORTS - REBOUÇAS 940;2020/07;647;28313;41222;6189;32801;12173
01 PHD SPORTS - BACACHERI 945;2020/07;203;10586;12574;1349;9683;1877
Clínica do Movimento;2020/07;16;4340;4340;0;0;4340
Academia S5;2020/07;60;11126;10789;72;1137;0
MB ASSESSORIA ESPORTIVA;2020/07;19;18799;18799;0;0;0
CrossFit City Wolves;2020/07;142;31669;26684;12330;0;29962
M1 FITNESS CENTER;2020/07;213;41061;43420;0;26136;0
TOPLIFE ACADEMIA;2020/07;161;20028;15926;5088;0;0
Nobre Arte Academia de Boxe;2020/07;152;16789;27941;15318;0;14292
Academia Fitness Plus;2020/07;142;12247;14279;752;13527;0
EQUILIBRIUM FERRARIA;2020/07;212;12085;13368;639;9046;0
CrossFit Vingadores;2020/07;76;13845;13687;0;4026;0
CF Piumhi;2020/07;86;2023;2023;0;0;0
ACADEMIA SMART FIT;2020/07;104;5030;8537;3073;0;4081
Black Box Training;2020/07;49;9193;8933;0;7828;0
CROSSFIT HARDBREAK;2020/07;114;29216;29424;5289;14562;21060
ARENA ONE ACADEMIA;2020/07;298;35020;38304;7912;13545;28584
PROFIT STUDIO;2020/07;143;42877;78800;8137;0;61750
Academia Oxy Place;2020/07;397;39635;41900;7103;28099;123808
Break Limits;2020/07;28;8541;6755;486;1111;0
Corpo funcional cross;2020/07;23;5989;3553;595;0;0
HIIT FITNESS;2020/07;58;3557;3412;194;214;8036
K2 Itacorubi;2020/07;55;17003;14762;0;1853;14062
Tribo Fitness Chácara;2020/07;39;13491;8804;2315;3387;0
Eik? Artes Marciais;2020/07;23;7885;5921;5246;0;9678
Academia Quality Body;2020/07;338;18495;21058;14657;0;8708
CROSSFIT FIRE HAWKS;2020/07;54;19252;16317;271;11610;14799
studio fitness monise glatzl;2020/07;31;0;12221;5582;0;8499
Viva Pilates SP;2020/07;4;0;1353;0;0;0
Vibe Cross Training;2020/07;24;1508;1500;0;0;0
EVOLUA IÇARA;2020/07;56;6696;8110;2181;0;5899
TRIBO GUARUJÁ;2020/07;35;10522;5749;0;2889;0
Focus Academia;2020/07;243;26631;27943;398;21336;0
Santé Treinamento Funcional;2020/07;109;37116;33367;0;27884;0
Head Office;2020/07;88;4768;4874;1050;0;0
Academia La Santé!;2020/07;56;6260;6255;0;0;0
Tribo Fitness Mesquita;2020/07;198;28147;21122;889;10124;0
Elite Cross;2020/07;14;20;461;441;0;2170
Clínica Fitness D2;2020/07;70;16509;16164;0;5052;13399
Novo Futuro Studio;2020/07;0;0;0;;;0
MOV CLUBE FITNESS;2020/07;76;7579;26679;4985;1245;18988
TIA ILKA - ALPHAVILLE;2020/07;123;0;19313;15358;0;23719
PRIX;2020/07;582;73991;66997;13075;19468;0
Evolua Morro da Fumaça;2020/07;53;9452;9398;1015;0;7885
Yôga School;2020/07;92;40648;51315;8131;0;0
UPLAY FITNESS - AV BRASILIA;2020/07;436;25020;55123;34612;18373;0
TIA ILKA - UNIDADE OESTE;2020/07;180;1333;20909;17837;0;34328
Academia World Fitness;2020/07;85;8790;9025;0;1732;0
Movimento A Instituto de Saúde Física e Mental;2020/07;0;0;0;86;0;0
MegaRace Centro Fitness;2020/07;190;29711;26927;1426;5424;25516
Hama Pilates Premium;2020/07;63;33520;33121;1271;0;36843
max training;2020/07;30;1978;5011;2197;2716;3000
DOMINIO FITNESS;2020/07;704;0;19452;18693;0;14058
H2o Studio - Treinamento funcional e Pilates;2020/07;26;9867;18522;7118;93;10637
Crossfit Maringá 2;2020/07;53;8228;8476;1190;3988;8571
Shamu Natação;2020/07;179;264;3849;2631;0;1276
WA Danças - Unidade Paulista;2020/07;174;28450;33118;251;26812;667
Penduricália Acrobacia Aérea;2020/07;10;1716;1751;35;0;3791
CROSSTAINER;2020/07;113;24381;27098;4167;6285;21367
Unidade Glória - RTesser Life Studio;2020/07;34;18604;18789;0;0;0
Meu Personal de Bolso;2020/07;12;270;270;0;0;0
BOX SE7E;2020/07;84;10518;10970;0;975;10368
JAB L.U.T.A.S.;2020/07;97;24403;19443;12652;1454;19080
Akacia Amarela;2020/07;19;3655;4055;0;0;0
Plié Namastê Studio;2020/07;48;4274;2879;0;0;0
FORMA FITNESS ACADEMIA;2020/07;10;1980;1980;0;0;0
Primal Cross;2020/07;28;6420;6420;0;0;0
Steel Giants;2020/07;63;11074;19889;7836;5699;1241
Armel CrossFit;2020/07;112;29814;31361;1202;24995;32984
Split Pole Studio;2020/07;31;8423;8370;748;0;4383
CROSSFIT PARAGUAÇU;2020/07;50;4693;4693;0;0;0
Studio Latos Pilates;2020/07;12;1341;5120;0;0;0
Tribo - Vale do Sol;2020/07;62;2320;2282;0;385;0
Viva Bem;2020/07;18;1418;1418;0;0;0
CT Evox;2020/07;36;9430;6108;1179;155;0
Tribo fitness Unidade Curvelo;2020/07;12;13865;14030;0;697;903
Pratique Cross;2020/07;24;4395;4049;524;0;1112
Academia Body Fit - Unidade 2;2020/07;71;0;7111;6424;0;0
13 PHD SPORTS - VIP - CAJURU 1630;2020/07;168;9714;12743;239;10918;2886
KOR CROSSFIT 2;2020/07;41;11465;12156;0;11353;0
CF SOLDIERS;2020/07;27;3678;5965;3746;1054;15485
NEOFITNESS;2020/07;249;20015;46864;16749;0;0
Soc Emp Alive Studios LTDA;2020/07;25;2923;2797;0;2067;5013
Instituto Verbalize;2020/07;70;20587;16086;0;4508;20306
LIFIT TRAINING - A. RATOS;2020/07;35;4335;5529;308;4384;6491
Barong Crossfit;2020/07;58;5231;8874;3733;2864;0
Flashover Bancários;2020/07;70;9220;9506;2161;2974;11569
Núcleo 7 Esferas do Tao;2020/07;60;10180;10029;0;6039;14016
Studio Personal Trainer Mogi - Adão Silva;2020/07;46;7844;8980;4651;1268;3736
Gym Pilates - Alphaville;2020/07;62;11690;8999;0;0;0
CT SEARA - Vôlei de praia;2020/07;8;555;531;0;0;0
ABS Studio Personalizado;2020/07;4;2756;2998;261;0;1614
Acqua Fitness;2020/07;519;5070;49932;44826;1551;38709
Pura Vida Pilates;2020/07;50;20450;11330;615;0;0
PROLOGUE Box CrossFit;2020/07;52;14360;17733;0;8864;19073
Crossfire;2020/07;88;5242;12597;9237;279;0
BABY GYM - ACADEMIA PARA BEBÊS;2020/07;9;340;535;0;535;0
Corpilates – Equilíbrio e Saúde;2020/07;29;10521;13288;9241;0;27526
Alive Natação;2020/07;7;0;390;0;0;0
Up Fit Studio Personal Trainer;2020/07;9;3805;3782;0;0;3273
Clube Náutico Riachuelo;2020/07;9;4676;4438;0;329;76
Juninho Tennis;2020/07;88;57939;70225;7543;24765;38311
CENTRAL FITNESS;2020/07;212;25386;23064;0;7751;316
Vsa fitness;2020/07;98;9620;9620;0;0;0
Tribo Fitness São Carlos;2020/07;5;1112;1084;0;0;0
Maisstreino;2020/07;40;11568;7114;0;3848;289
11 PHD SPORTS - UBERABA 1833;2020/07;278;13108;18721;1456;14657;11077
HJ Fitness;2020/07;470;29678;46369;19518;17965;47523
Osy Fit - Maracana;2020/07;435;24410;39929;20275;0;10278
Oasis Academia;2020/07;348;28405;20796;1003;11213;46053
TRIBO FITNESS ANGRA;2020/07;47;7184;5116;0;231;0
Cityvida Capão Bonito;2020/07;106;3153;7486;3255;3631;2588
Power Training;2020/07;42;5075;5075;0;0;0
Boa forma studio personal e treinamento funcional;2020/07;72;11535;11377;0;192;12337
Cross1Fit;2020/07;27;6274;6282;0;5006;7725
CFP9 CasaShopping;2020/07;279;92634;90129;0;66021;82453
Academia Ramirez;2020/07;54;10774;11311;1499;357;0
MAFIA CF CROSSTRAINING;2020/07;33;4908;4985;1105;2051;31012
BABY GYM;2020/07;1;2408;1615;0;0;0
AKTIVE CENTRO DE SAUDE E BEM ESTAR;2020/07;83;12796;12796;0;0;0
EMAGREFIT;2020/07;45;11936;12287;0;0;10975
KOR CrossFit;2020/07;93;28231;27550;0;23613;29346
Academia Bio Fitness;2020/07;850;21291;33224;24854;599;20522
centro de treinamento body & soul;2020/07;34;17116;15872;0;5651;0
Tribo fitness unidade Belém;2020/07;45;5915;5952;0;218;0
CT BOLA PRA CIMA;2020/07;62;9538;9058;0;361;0
Kahu CrossFit;2020/07;67;14710;13874;0;8065;0
Elleven Futebol Studio;2020/07;40;2687;5158;1394;3268;0
STUDIO BROOK FIGHTER;2020/07;26;10105;8141;6499;189;1600
Saúde e fitness;2020/07;22;10717;10717;0;0;1737
VIVA ACADEMIA DE NATAÇÃO E HIDROGINÁSTICA;2020/07;22;0;3205;2630;0;0
UNIDADE 1 ITAPARK;2020/07;271;38991;32039;13973;1083;0
JSJ ESPORTES E ENTRETENIMENTO LTDA;2020/07;165;40240;25437;7937;0;55881
MOREIRA FIT I;2020/07;1;0;0;0;0;500
ACADEMIA COLISEO;2020/07;336;29322;33232;504;28934;37991
Elite fitness e Lutas;2020/07;2;0;0;0;0;0
Studio Angelo Molina;2020/07;24;5421;7493;0;7493;0
UPEX FIT;2020/07;402;7669;29828;25391;0;33785
SOU PILATES;2020/07;22;6015;7949;0;0;5303
2103;2020/07;0;0;0;;;
Intense Fitness Itabira;2020/07;20;13218;13319;114;0;12698
Unit55 CrossFit;2020/07;124;25864;23127;0;20442;49000
CROSSBOX;2020/07;79;9060;8065;0;484;0
OSY FIT - Guaraituba;2020/07;250;16783;24106;14082;0;2945
Centro de Treinamento Team Cruz;2020/07;61;14387;12542;0;5073;0
ARENA EKO;2020/07;57;12528;10646;0;2899;7797
I9 CROSSFIT;2020/07;75;19177;27563;11254;10651;17528
Estúdio Andréa Schaidt;2020/07;26;6185;6185;0;0;0
Bravus centro de treinamento;2020/07;87;12259;10270;0;1522;0
Fit House;2020/07;13;1029;1444;0;674;651
Centro de Natação Camboriú;2020/07;149;21224;21815;1448;8789;22418
Grupo Joyce Fitness;2020/07;149;37092;35080;5620;0;35286
CFJM;2020/07;109;14473;18793;2739;9388;19910
ACADEMIA R2;2020/07;457;13726;34789;27828;1120;0
Studio Funcional 360 Studio;2020/07;69;15577;12856;723;5526;0
Studio Nataraja Flow Yoga;2020/07;102;32897;39977;30682;3097;26623
Tribo fitness São luis Maranhão;2020/07;58;8285;6860;731;0;0
BIOTRAINING;2020/07;60;0;4864;4639;0;0
Academia Black Bull Fit;2020/07;186;9654;13427;5118;6848;550
Vitta Physio;2020/07;41;525;929;404;0;0
Arena;2020/07;60;18708;8826;848;0;0
Vessel CrossFit;2020/07;52;17384;87942;962;4952;54420
Studio Core - Saúde & Performance;2020/07;24;6619;6947;0;2133;8306
BODYFIT - Movimente-se!;2020/07;11;0;0;0;0;0
CROSSFIT ESTIVADORES;2020/07;85;15342;11783;7937;0;25130
Focus Gym;2020/07;31;0;1017;1017;0;6943
EDER PIRES RUN & FITNESS ASSESSORIA;2020/07;31;3731;3551;0;0;900
Crossfit 6450;2020/07;58;17347;27792;0;23071;13249
Cross Let's Wod Americana;2020/07;158;0;1197;0;1197;0
Bodytrend;2020/07;18;9116;9576;0;0;3066
Extremo vigor academia;2020/07;88;7131;8398;1107;0;60
ATP ENERGY ACADEMIA;2020/07;78;5999;6809;919;4067;7720
Fort Cross;2020/07;107;36771;34153;4836;0;20837
Academia Vita FIT;2020/07;105;8173;8827;865;3222;6466
HI Power Fitness Center;2020/07;80;7467;8464;3020;0;10544
Crossfit 79;2020/07;99;27917;30339;2386;21484;0
Tubarão CrossFit;2020/07;92;9515;15115;9437;0;22612
Crossfit Invictus MG;2020/07;34;0;672;672;0;0
RIP HUMAN PERFORMANCE - ÁGUA VERDE;2020/07;12;2167;2550;765;1535;149
STUDIO ÃNANDDA;2020/07;154;24863;27836;10695;5431;38448
CrossFit Guepardo;2020/07;173;25545;41873;15092;22868;104896
Academia Vibe;2020/07;7;55;182;127;54;613
32 PHD SPORTS - JARDIM DA AMERICAS;2020/07;102;9040;12260;1324;7350;31520
Musculação Estivadores;2020/07;137;15251;19479;9041;3291;0
CrossTx;2020/07;32;8360;8360;0;0;0
CROSSFIT LP;2020/07;83;14465;14503;4828;0;14526
OverFit;2020/07;252;27721;28700;2731;7449;10832
Crossfit Caçadores;2020/07;62;19270;19270;0;0;0
SER ATIVO - STUDIO E ASSESSORIA ESPORTIVA;2020/07;32;6994;5762;0;2419;0
26 PHD SPORTS - Boqueirão 2647;2020/07;172;5264;6614;281;5029;0
Mangata Crossfit;2020/07;118;8991;12572;9375;0;0
Arbo Crossfit;2020/07;148;28902;38146;7185;25309;0
Muscle Room;2020/07;65;7471;8342;5657;1605;5232
Yoga OM;2020/07;47;20738;20005;573;2443;4000
Eiger Crossfit;2020/07;49;7898;10939;0;8375;14877
Pilates OldSchool;2020/07;0;0;0;0;0;5260
Brolex Body Studio;2020/07;147;25936;33887;24195;0;0
Academia Force Fit;2020/07;86;13853;12845;838;0;7833
ACADEMIA DUQUE DE CAXIAS;2020/07;1197;0;0;0;0;0
Studio Gil Pilates;2020/07;19;0;6115;4894;0;490
CROSSFIT CRISTO REI;2020/07;49;4935;24488;20211;0;0
CARDIO FITNESS TREINAMENTO FUNCIONAL;2020/07;12;3730;3728;0;0;0
Acqua life baby&kids;2020/07;134;23882;26157;652;19722;10255
Personal Diogo Machado;2020/07;1;0;0;0;0;0
Studio Evolution Fitness;2020/07;211;30343;27975;8553;0;19212
Condá CrossFit;2020/07;176;44069;42787;7359;18164;17163
Prime Fit;2020/07;156;4782;9264;5467;928;764
Baby Gym Bento;2020/07;9;2980;2936;197;750;0
cosenza team;2020/07;14;780;1750;970;0;0
Crossfit Beach 787;2020/07;141;18365;19204;2348;5055;13333
Rizerva Zen;2020/07;3;0;486;486;0;2830
Reino CrossFit;2020/07;59;21344;20993;0;1618;20342
Espaço One;2020/07;33;36469;28170;5964;0;39234
5FTraining;2020/07;4;3913;1674;0;339;5590
Fisiform;2020/07;239;15570;36297;24807;2484;0
Academia Mahatma;2020/07;465;9710;56194;46005;0;3422
PRIME SHAPE;2020/07;137;5072;6907;2601;0;0
Corpus Cristo Rei;2020/07;139;8000;13094;4000;8569;0
ACADEMIA MC SPORTS;2020/07;659;53955;96065;41910;0;111106
Happiness Academia em Movimento;2020/07;239;2766;17686;13960;3650;7038
CF Blackfoxx;2020/07;56;14168;8434;1342;3716;0
Crossfit Locomotiva;2020/07;105;4802;13354;6597;3025;145
ACADEMIA LIFE FITNESS;2020/07;180;20186;21210;2058;1732;16616
ACADEMIA SKY BLUE;2020/07;193;15045;15962;3052;4658;4321
Crossfit High Pulse - Matriz;2020/07;97;14115;22664;12672;5617;20286
