"CO_ISIC_CLASSE";"NO_ISIC_CLASSE";"NO_ISIC_CLASSE_ING";"NO_ISIC_CLASSE_ESP";"CO_ISIC_GRUPO";"NO_ISIC_GRUPO";"NO_ISIC_GRUPO_ING";"NO_ISIC_GRUPO_ESP";"CO_ISIC_DIVISAO";"NO_ISIC_DIVISAO";"NO_ISIC_DIVISAO_ING";"NO_ISIC_DIVISAO_ESP";"CO_ISIC_SECAO";"NO_ISIC_SECAO";"NO_ISIC_SECAO_ING";"NO_ISIC_SECAO_ESP" 
"1074";"Fabricação de macarrão, talharim, cuscuz e produtos farináceos semelhantes";"Manufacture of macaroni, noodles, couscous and similar farinaceous products";"Fabricação de macarrão, talharim, cuscuz e produtos farináceos semelhantes";"107";"Fabricação de outros produtos alimentícios";"Manufacture of other food products";"Fabricação de outros produtos alimentícios";"10";"Fabricação de produtos alimentícios";"Manufacture of food products";"Fabricação de produtos alimentícios";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"8810";"Serviços sociais sem alojamento para idosos e deficientes";"Social work activities without accommodation for the elderly and disabled";"Serviços sociais sem alojamento para idosos e deficientes";"881";"Serviços sociais sem alojamento para idosos e deficientes";"Social work activities without accommodation for the elderly and disabled";"Serviços sociais sem alojamento para idosos e deficientes";"88";"Atividades de trabalho social sem alojamento";"Social work activities without accommodation";"Atividades de trabalho social sem alojamento";"D";"Outros Produtos";"Other products";"Outros Produtos"
"0520";"Mineração de lignito";"Mining of lignite";"Mineração de lignito";"052";"Mineração de lignito";"Mining of lignite";"Mineração de lignito";"05";"Mineração de carvão e lignito";"Mining of coal and lignite";"Mineração de carvão e lignito";"B";"Indústria Extrativa";"Mining and quarrying";"Indústria Extrativa"
"6130";"Telecomunicações por satélite";"Satellite telecommunications activities";"Telecomunicações por satélite";"613";"Telecomunicações por satélite";"Satellite telecommunications activities";"Telecomunicações por satélite";"61";"Telecomunicações";"Telecommunications";"Telecomunicações";"D";"Outros Produtos";"Other products";"Outros Produtos"
"3212";"Fabricação de bijuterias e artigos relacionados";"Manufacture of imitation jewellery and related articles";"Fabricação de bijuterias e artigos relacionados";"321";"Fabricação de joalharia, bijuteria e artigos afins";"Manufacture of jewellery, bijouterie and related articles";"Fabricação de joalharia, bijuteria e artigos afins";"32";"Outras manufaturas";"Other manufacturing";"Outras manufaturas";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"3211";"Fabricação de joalharia e artigos afins";"Manufacture of jewellery and related articles";"Fabricação de joalharia e artigos afins";"321";"Fabricação de joalharia, bijuteria e artigos afins";"Manufacture of jewellery, bijouterie and related articles";"Fabricação de joalharia, bijuteria e artigos afins";"32";"Outras manufaturas";"Other manufacturing";"Outras manufaturas";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"3230";"Fabricação de artigos esportivos";"Manufacture of sports goods";"Fabricação de artigos esportivos";"323";"Fabricação de artigos esportivos";"Manufacture of sports goods";"Fabricação de artigos esportivos";"32";"Outras manufaturas";"Other manufacturing";"Outras manufaturas";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"3240";"Fabricação de jogos e brinquedos";"Manufacture of games and toys";"Fabricação de jogos e brinquedos";"324";"Fabricação de jogos e brinquedos";"Manufacture of games and toys";"Fabricação de jogos e brinquedos";"32";"Outras manufaturas";"Other manufacturing";"Outras manufaturas";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"3250";"Fabricação de instrumentos e suprimentos médicos e odontológicos";"Manufacture of medical and dental instruments and supplies";"Fabricação de instrumentos e suprimentos médicos e odontológicos";"325";"Fabricação de instrumentos e suprimentos médicos e odontológicos";"Manufacture of medical and dental instruments and supplies";"Fabricação de instrumentos e suprimentos médicos e odontológicos";"32";"Outras manufaturas";"Other manufacturing";"Outras manufaturas";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"4930";"Transporte via gasoduto";"Transport via pipeline";"Transporte via gasoduto";"493";"Transporte via gasoduto";"Transport via pipeline";"Transporte via gasoduto";"49";"Transporte terrestre e transporte por meio de gasodutos";"Land transport and transport via pipelines";"Transporte terrestre e transporte por meio de gasodutos";"D";"Outros Produtos";"Other products";"Outros Produtos"
"2219";"Fabricação de outros produtos de borracha";"Manufacture of other rubber products";"Fabricação de outros produtos de borracha";"221";"Fabricação de produtos de borracha";"Manufacture of rubber products";"Fabricação de produtos de borracha";"22";"Fabricação de produtos de borracha e plásticos";"Manufacture of rubber and plastics products";"Fabricação de produtos de borracha e plásticos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2211";"Fabricação de pneus e tubos; recauchutagem e reconstrução de pneus de borracha";"Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres";"Fabricação de pneus e tubos; recauchutagem e reconstrução de pneus de borracha";"221";"Fabricação de produtos de borracha";"Manufacture of rubber products";"Fabricação de produtos de borracha";"22";"Fabricação de produtos de borracha e plásticos";"Manufacture of rubber and plastics products";"Fabricação de produtos de borracha e plásticos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2410";"Fabricação de ferro e aço básicos";"Manufacture of basic iron and steel";"Fabricação de ferro e aço básicos";"241";"Fabricação básica de ferro e aço";"Manufacture of basic iron and steel";"Fabricação básica de ferro e aço";"24";"Fabricação de metais básicos";"Manufacture of basic metals";"Fabricação de metais básicos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2420";"Fabricação de metais preciosos e outros metais não ferrosos";"Manufacture of basic precious and other non-ferrous metals";"Fabricação de metais preciosos e outros metais não ferrosos";"242";"Fabricação de metais preciosos e outros metais não ferrosos";"Manufacture of basic precious and other non-ferrous metals";"Fabricação de metais preciosos e outros metais não ferrosos";"24";"Fabricação de metais básicos";"Manufacture of basic metals";"Fabricação de metais básicos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2513";"Fabricação de geradores de vapor, exceto caldeiras de aquecimento central de água quente";"Manufacture of steam generators, except central heating hot water boilers";"Fabricação de geradores de vapor, exceto caldeiras de aquecimento central de água quente";"251";"Fabricação de produtos metálicos estruturais, tanques, reservatórios e geradores de vapor";"Manufacture of structural metal products, tanks, reservoirs and steam generators";"Fabricação de produtos metálicos estruturais, tanques, reservatórios e geradores de vapor";"25";"Fabricação de produtos metálicos fabricados, exceto máquinas e equipamentos";"Manufacture of fabricated metal products, except machinery and equipment";"Fabricação de produtos metálicos fabricados, exceto máquinas e equipamentos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2512";"Fabricação de tanques, reservatórios e recipientes de metal";"Manufacture of tanks, reservoirs and containers of metal";"Fabricação de tanques, reservatórios e recipientes de metal";"251";"Fabricação de produtos metálicos estruturais, tanques, reservatórios e geradores de vapor";"Manufacture of structural metal products, tanks, reservoirs and steam generators";"Fabricação de produtos metálicos estruturais, tanques, reservatórios e geradores de vapor";"25";"Fabricação de produtos metálicos fabricados, exceto máquinas e equipamentos";"Manufacture of fabricated metal products, except machinery and equipment";"Fabricação de produtos metálicos fabricados, exceto máquinas e equipamentos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2511";"Fabricação de produtos metálicos estruturais";"Manufacture of structural metal products";"Fabricação de produtos metálicos estruturais";"251";"Fabricação de produtos metálicos estruturais, tanques, reservatórios e geradores de vapor";"Manufacture of structural metal products, tanks, reservoirs and steam generators";"Fabricação de produtos metálicos estruturais, tanques, reservatórios e geradores de vapor";"25";"Fabricação de produtos metálicos fabricados, exceto máquinas e equipamentos";"Manufacture of fabricated metal products, except machinery and equipment";"Fabricação de produtos metálicos fabricados, exceto máquinas e equipamentos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1520";"Fabricação de calçado";"Manufacture of footwear";"Fabricação de calçado";"152";"Fabricação de calçado";"Manufacture of footwear";"Fabricação de calçado";"15";"Fabricação de couro e produtos afins";"Manufacture of leather and related products";"Fabricação de couro e produtos afins";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"8110";"Atividades de apoio de instalações combinadas";"Combined facilities support activities";"Atividades de apoio de instalações combinadas";"811";"Atividades de apoio de instalações combinadas";"Combined facilities support activities";"Atividades de apoio de instalações combinadas";"81";"Serviços para edifícios e atividades paisagísticas";"Services to buildings and landscape activities";"Serviços para edifícios e atividades paisagísticas";"D";"Outros Produtos";"Other products";"Outros Produtos"
"9000";"Atividades criativas, artes e entretenimento";"Creative, arts and entertainment activities";"Atividades criativas, artes e entretenimento";"900";"Atividades criativas, artes e entretenimento";"Creative, arts and entertainment activities";"Atividades criativas, artes e entretenimento";"90";"Atividades criativas, artes e entretenimento";"Creative, arts and entertainment activities";"Atividades criativas, artes e entretenimento";"D";"Outros Produtos";"Other products";"Outros Produtos"
"0990";"Atividades de apoio a outras minerações e pedreiras";"Support activities for other mining and quarrying";"Atividades de apoio a outras minerações e pedreiras";"099";"Atividades de apoio a outras minerações e pedreiras";"Support activities for other mining and quarrying";"Atividades de apoio a outras minerações e pedreiras";"09";"Atividades de apoio à extração de minerais";"Mining support service activities";"Atividades de apoio à extração de minerais";"B";"Indústria Extrativa";"Mining and quarrying";"Indústria Extrativa"
"2740";"Fabricação de equipamentos de iluminação elétrica";"Manufacture of electric lighting equipment";"Fabricação de equipamentos de iluminação elétrica";"274";"Fabricação de equipamentos de iluminação elétrica";"Manufacture of electric lighting equipment";"Fabricação de equipamentos de iluminação elétrica";"27";"Fabricação de equipamentos elétricos";"Manufacture of electrical equipment";"Fabricação de equipamentos elétricos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"3020";"Fabricação de locomotivas e material circulante";"Manufacture of railway locomotives and rolling stock";"Fabricação de locomotivas e material circulante";"302";"Fabricação de locomotivas e material circulante";"Manufacture of railway locomotives and rolling stock";"Fabricação de locomotivas e material circulante";"30";"Fabricação de outro equipamento de transporte";"Manufacture of other transport equipment";"Fabricação de outro equipamento de transporte";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"7710";"Aluguel e locação de veículos a motor";"Renting and leasing of motor vehicles";"Aluguel e locação de veículos a motor";"771";"Aluguel e locação de veículos a motor";"Renting and leasing of motor vehicles";"Aluguel e locação de veículos a motor";"77";"Atividades de aluguel e locação";"Rental and leasing activities";"Atividades de aluguel e locação";"D";"Outros Produtos";"Other products";"Outros Produtos"
"7730";"Aluguel e locação de outras máquinas, equipamentos e bens tangíveis";"Renting and leasing of other machinery, equipment and tangible goods";"Aluguel e locação de outras máquinas, equipamentos e bens tangíveis";"773";"Aluguel e locação de outras máquinas, equipamentos e bens tangíveis";"Renting and leasing of other machinery, equipment and tangible goods";"Aluguel e locação de outras máquinas, equipamentos e bens tangíveis";"77";"Atividades de aluguel e locação";"Rental and leasing activities";"Atividades de aluguel e locação";"D";"Outros Produtos";"Other products";"Outros Produtos"
"8010";"Atividades de segurança privada";"Private security activities";"Atividades de segurança privada";"801";"Atividades de segurança privada";"Private security activities";"Atividades de segurança privada";"80";"Atividades de segurança e investigação";"Security and investigation activities";"Atividades de segurança e investigação";"D";"Outros Produtos";"Other products";"Outros Produtos"
"9700";"Serviços domésticos";"Activities of households as employers of domestic personnel";"Serviços domésticos";"970";"Serviços domésticos";"Activities of households as employers of domestic personnel";"Serviços domésticos";"97";"Serviços domésticos";"Activities of households as employers of domestic personnel";"Serviços domésticos";"D";"Outros Produtos";"Other products";"Outros Produtos"
"0210";"Silvicultura e outras atividades florestais";"Silviculture and other forestry activities";"Silvicultura e outras atividades florestais";"021";"Silvicultura e outras atividades florestais";"Silviculture and other forestry activities";"Silvicultura e outras atividades florestais";"02";"Silvicultura e exploração madeireira";"Forestry and logging";"Silvicultura e exploração madeireira";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"5022";"Transporte fretado na água";"Inland freight water transport";"Transporte fretado na água";"502";"Transporte de água interior";"Inland water transport";"Transporte de água interior";"50";"Transporte de água";"Water transport";"Transporte de água";"D";"Outros Produtos";"Other products";"Outros Produtos"
"5021";"Transporte fluvial de passageiros";"Inland passenger water transport";"Transporte fluvial de passageiros";"502";"Transporte de água interior";"Inland water transport";"Transporte de água interior";"50";"Transporte de água";"Water transport";"Transporte de água";"D";"Outros Produtos";"Other products";"Outros Produtos"
"5210";"Armazenagem e armazenamento";"Warehousing and storage";"Armazenagem e armazenamento";"521";"Armazenagem";"Warehousing and storage";"Armazenagem";"52";"Armazenagem e atividades de apoio para transporte";"Warehousing and support activities for transportation";"Armazenagem e atividades de apoio para transporte";"D";"Outros Produtos";"Other products";"Outros Produtos"
"2930";"Fabricação de peças e acessórios para veículos automotores";"Manufacture of parts and accessories for motor vehicles";"Fabricação de peças e acessórios para veículos automotores";"293";"Fabricação de peças e acessórios para veículos automotores";"Manufacture of parts and accessories for motor vehicles";"Fabricação de peças e acessórios para veículos automotores";"29";"Fabricação de veículos automóveis, reboques e semi-reboques";"Manufacture of motor vehicles, trailers and semi-trailers";"Fabricação de veículos automóveis, reboques e semi-reboques";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"9900";"Atividades de organismos internacionais e outras instituições extraterritoriais";"Activities of extraterritorial organizations and bodies";"Atividades de organismos internacionais e outras instituições extraterritoriais";"990";"Atividades de organismos internacionais e outras instituições extraterritoriais";"Activities of extraterritorial organizations and bodies";"Atividades de organismos internacionais e outras instituições extraterritoriais";"99";"Organismos internacionais e outras instituições extraterritoriais";"Activities of extraterritorial organizations and bodies";"Organismos internacionais e outras instituições extraterritoriais";"D";"Outros Produtos";"Other products";"Outros Produtos"
"0899";"Outras atividades de mineração n.c";"Other mining and quarrying n.e.c.";"Outras atividades de mineração n.c";"089";"Extração de outros minerais n.c";"Mining and quarrying n.e.c.";"Extração de outros minerais n.c";"08";"Extração de outros minerais";"Other mining and quarrying";"Extração de outros minerais";"B";"Indústria Extrativa";"Mining and quarrying";"Indústria Extrativa"
"0893";"Extração de sal";"Extraction of salt";"Extração de sal";"089";"Extração de outros minerais n.c";"Mining and quarrying n.e.c.";"Extração de outros minerais n.c";"08";"Extração de outros minerais";"Other mining and quarrying";"Extração de outros minerais";"B";"Indústria Extrativa";"Mining and quarrying";"Indústria Extrativa"
"0892";"Extração de turfa";"Extraction of peat";"Extração de turfa";"089";"Extração de outros minerais n.c";"Mining and quarrying n.e.c.";"Extração de outros minerais n.c";"08";"Extração de outros minerais";"Other mining and quarrying";"Extração de outros minerais";"B";"Indústria Extrativa";"Mining and quarrying";"Indústria Extrativa"
"0891";"Extração de minerais químicos e fertilizantes";"Mining of chemical and fertilizer minerals";"Extração de minerais químicos e fertilizantes";"089";"Extração de outros minerais n.c";"Mining and quarrying n.e.c.";"Extração de outros minerais n.c";"08";"Extração de outros minerais";"Other mining and quarrying";"Extração de outros minerais";"B";"Indústria Extrativa";"Mining and quarrying";"Indústria Extrativa"
"1020";"Processamento e conservação de peixes, crustáceos e moluscos";"Processing and preserving of fish, crustaceans and molluscs";"Processamento e conservação de peixes, crustáceos e moluscos";"102";"Processamento e conservação de peixes, crustáceos e moluscos";"Processing and preserving of fish, crustaceans and molluscs";"Processamento e conservação de peixes, crustáceos e moluscos";"10";"Fabricação de produtos alimentícios";"Manufacture of food products";"Fabricação de produtos alimentícios";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"4620";"Comércio atacadista de matérias-primas agrícolas e animais vivos";"Wholesale of agricultural raw materials and live animals";"Comércio atacadista de matérias-primas agrícolas e animais vivos";"462";"Comércio atacadista de matérias-primas agrícolas e animais vivos";"Wholesale of agricultural raw materials and live animals";"Comércio atacadista de matérias-primas agrícolas e animais vivos";"46";"Comércio atacadista, exceto de veículos automotores e motocicletas";"Wholesale trade, except of motor vehicles and motorcycles";"Comércio atacadista, exceto de veículos automotores e motocicletas";"D";"Outros Produtos";"Other products";"Outros Produtos"
"5610";"Restaurantes e atividades de serviço de comida móvel";"Restaurants and mobile food service activities";"Restaurantes e atividades de serviço de comida móvel";"561";"Restaurantes e atividades de serviço móvel de alimentos";"Restaurants and mobile food service activities";"Restaurantes e atividades de serviço móvel de alimentos";"56";"Atividades de serviços de alimentos e bebidas";"Food and beverage service activities";"Atividades de serviços de alimentos e bebidas";"D";"Outros Produtos";"Other products";"Outros Produtos"
"5920";"Atividades de gravação de som e edição de música";"Sound recording and music publishing activities";"Atividades de gravação de som e edição de música";"592";"Atividades de gravação de som e edição de música";"Sound recording and music publishing activities";"Atividades de gravação de som e edição de música";"59";"Produção de filmes, vídeos e programas de televisão, gravação de som e edição de música";"Motion picture, video and television programme production, sound recording and music publishing activities";"Produção de filmes, vídeos e programas de televisão, gravação de som e edição de música";"D";"Outros Produtos";"Other products";"Outros Produtos"
"6530";"Financiamento de pensão";"Pension funding";"Financiamento de pensão";"653";"Financiamento de pensão";"Pension funding";"Financiamento de pensão";"65";"Seguro, resseguro e fundos de pensão, exceto previdência social obrigatória";"Insurance, reinsurance and pension funding, except compulsory social security";"Seguro, resseguro e fundos de pensão, exceto previdência social obrigatória";"D";"Outros Produtos";"Other products";"Outros Produtos"
"2100";"Fabricação de produtos farmacêuticos, produtos químicos medicinais e botânicos";"Manufacture of pharmaceuticals, medicinal chemical and botanical products";"Fabricação de produtos farmacêuticos, produtos químicos medicinais e botânicos";"210";"Fabricação de produtos farmacêuticos, produtos químicos medicinais e botânicos";"Manufacture of pharmaceuticals, medicinal chemical and botanical products";"Fabricação de produtos farmacêuticos, produtos químicos medicinais e botânicos";"21";"Fabricação de produtos farmacêuticos básicos e preparações farmacêuticas";"Manufacture of basic pharmaceutical products and pharmaceutical preparations";"Fabricação de produtos farmacêuticos básicos e preparações farmacêuticas";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"3700";"Sistema de esgoto";"Sewerage";"Sistema de esgoto";"370";"Sistema de esgoto";"Sewerage";"Sistema de esgoto";"37";"Sistema de esgoto";"Sewerage";"Sistema de esgoto";"D";"Outros Produtos";"Other products";"Outros Produtos"
"4290";"Construção de outros projetos de engenharia civil";"Construction of other civil engineering projects";"Construção de outros projetos de engenharia civil";"429";"Construção de outros projetos de engenharia civil";"Construction of other civil engineering projects";"Construção de outros projetos de engenharia civil";"42";"Engenharia Civil";"Civil engineering";"Engenharia Civil";"D";"Outros Produtos";"Other products";"Outros Produtos"
"0164";"Processamento de sementes para propagação";"Seed processing for propagation";"Processamento de sementes para propagação";"016";"Atividades de apoio à agricultura e atividades de colheita pós-colheita";"Support activities to agriculture and post-harvest crop activities";"Atividades de apoio à agricultura e atividades de colheita pós-colheita";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0163";"Atividades de pós-colheita";"Post-harvest crop activities";"Atividades de pós-colheita";"016";"Atividades de apoio à agricultura e atividades de colheita pós-colheita";"Support activities to agriculture and post-harvest crop activities";"Atividades de apoio à agricultura e atividades de colheita pós-colheita";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0162";"Atividades de apoio à produção animal";"Support activities for animal production";"Atividades de apoio à produção animal";"016";"Atividades de apoio à agricultura e atividades de colheita pós-colheita";"Support activities to agriculture and post-harvest crop activities";"Atividades de apoio à agricultura e atividades de colheita pós-colheita";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0161";"Atividades de apoio à produção agrícola";"Support activities for crop production";"Atividades de apoio à produção agrícola";"016";"Atividades de apoio à agricultura e atividades de colheita pós-colheita";"Support activities to agriculture and post-harvest crop activities";"Atividades de apoio à agricultura e atividades de colheita pós-colheita";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"6312";"Portais da web";"Web portals";"Portais da web";"631";"Processamento de dados, hospedagem e atividades relacionadas; portais da web";"Data processing, hosting and related activities; web portals";"Processamento de dados, hospedagem e atividades relacionadas; portais da web";"63";"Atividades de serviços de informação";"Information service activities";"Atividades de serviços de informação";"D";"Outros Produtos";"Other products";"Outros Produtos"
"6311";"Processamento de dados, hospedagem e atividades relacionadas";"Data processing, hosting and related activities";"Processamento de dados, hospedagem e atividades relacionadas";"631";"Processamento de dados, hospedagem e atividades relacionadas; portais da web";"Data processing, hosting and related activities; web portals";"Processamento de dados, hospedagem e atividades relacionadas; portais da web";"63";"Atividades de serviços de informação";"Information service activities";"Atividades de serviços de informação";"D";"Outros Produtos";"Other products";"Outros Produtos"
"6630";"Atividades de gerenciamento de fundos";"Fund management activities";"Atividades de gerenciamento de fundos";"663";"Atividades de gerenciamento de fundos";"Fund management activities";"Atividades de gerenciamento de fundos";"66";"Atividades auxiliares de serviços financeiros e atividades de seguro";"Activities auxiliary to financial service and insurance activities";"Atividades auxiliares de serviços financeiros e atividades de seguro";"D";"Outros Produtos";"Other products";"Outros Produtos"
"3100";"Fabricação de móveis";"Manufacture of furniture";"Fabricação de móveis";"310";"Fabricação de móveis";"Manufacture of furniture";"Fabricação de móveis";"31";"Fabricação de móveis";"Manufacture of furniture";"Fabricação de móveis";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1399";"Fabricação de outros têxteis n.e.c.";"Manufacture of other textiles n.e.c.";"Fabricação de outros têxteis n.e.c.";"139";"Fabricação de outros têxteis";"Manufacture of other textiles";"Fabricação de outros têxteis";"13";"Fabricação de têxteis";"Manufacture of textiles";"Fabricação de têxteis";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1394";"Fabricação de cordéis, cordas, cordéis e redes";"Manufacture of cordage, rope, twine and netting";"Fabricação de cordéis, cordas, cordéis e redes";"139";"Fabricação de outros têxteis";"Manufacture of other textiles";"Fabricação de outros têxteis";"13";"Fabricação de têxteis";"Manufacture of textiles";"Fabricação de têxteis";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1393";"Fabricação de tapetes e tapetes";"Manufacture of carpets and rugs";"Fabricação de tapetes e tapetes";"139";"Fabricação de outros têxteis";"Manufacture of other textiles";"Fabricação de outros têxteis";"13";"Fabricação de têxteis";"Manufacture of textiles";"Fabricação de têxteis";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1392";"Fabricação de artigos têxteis confeccionados, exceto vestuário";"Manufacture of made-up textile articles, except apparel";"Fabricação de artigos têxteis confeccionados, exceto vestuário";"139";"Fabricação de outros têxteis";"Manufacture of other textiles";"Fabricação de outros têxteis";"13";"Fabricação de têxteis";"Manufacture of textiles";"Fabricação de têxteis";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1391";"Fabricação de tecidos de malha";"Manufacture of knitted and crocheted fabrics";"Fabricação de tecidos de malha";"139";"Fabricação de outros têxteis";"Manufacture of other textiles";"Fabricação de outros têxteis";"13";"Fabricação de têxteis";"Manufacture of textiles";"Fabricação de têxteis";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1610";"Serração e aplainamento de madeira";"Sawmilling and planing of wood";"Serração e aplainamento de madeira";"161";"Serração e aplainamento de madeira";"Sawmilling and planing of wood";"Serração e aplainamento de madeira";"16";"Fabricação de madeira e de produtos de madeira e cortiça, exceto móveis; fabricação de artigos de palha e de cestaria";"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";"Fabricação de madeira e de produtos de madeira e cortiça, exceto móveis; fabricação de artigos de palha e de cestaria";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"7810";"Atividades de agências de colocação de emprego";"Activities of employment placement agencies";"Atividades de agências de colocação de emprego";"781";"Atividades de agências de colocação de emprego";"Activities of employment placement agencies";"Atividades de agências de colocação de emprego";"78";"Atividades de emprego";"Employment activities";"Atividades de emprego";"D";"Outros Produtos";"Other products";"Outros Produtos"
"7830";"Outra provisão de recursos humanos";"Other human resources provision";"Outra provisão de recursos humanos";"783";"Outra provisão de recursos humanos";"Other human resources provision";"Outra provisão de recursos humanos";"78";"Atividades de emprego";"Employment activities";"Atividades de emprego";"D";"Outros Produtos";"Other products";"Outros Produtos"
"9499";"Atividades de outras organizações associativas n.e.c.";"Activities of other membership organizations n.e.c.";"Atividades de outras organizações associativas n.e.c.";"949";"Atividades de outras organizações associativas";"Activities of other membership organizations";"Atividades de outras organizações associativas";"94";"Atividades de organizações associativas";"Activities of membership organizations";"Atividades de organizações associativas";"D";"Outros Produtos";"Other products";"Outros Produtos"
"9492";"Atividades de organizações políticas";"Activities of political organizations";"Atividades de organizações políticas";"949";"Atividades de outras organizações associativas";"Activities of other membership organizations";"Atividades de outras organizações associativas";"94";"Atividades de organizações associativas";"Activities of membership organizations";"Atividades de organizações associativas";"D";"Outros Produtos";"Other products";"Outros Produtos"
"9491";"Atividades de organizações religiosas";"Activities of religious organizations";"Atividades de organizações religiosas";"949";"Atividades de outras organizações associativas";"Activities of other membership organizations";"Atividades de outras organizações associativas";"94";"Atividades de organizações associativas";"Activities of membership organizations";"Atividades de organizações associativas";"D";"Outros Produtos";"Other products";"Outros Produtos"
"0910";"Atividades de apoio à extração de petróleo e gás natural";"Support activities for petroleum and natural gas extraction";"Atividades de apoio à extração de petróleo e gás natural";"091";"Atividades de apoio à extração de petróleo e gás natural";"Support activities for petroleum and natural gas extraction";"Atividades de apoio à extração de petróleo e gás natural";"09";"Atividades de apoio à extração de minerais";"Mining support service activities";"Atividades de apoio à extração de minerais";"B";"Indústria Extrativa";"Mining and quarrying";"Indústria Extrativa"
"2733";"Fabricação de dispositivos de fiação";"Manufacture of wiring devices";"Fabricação de dispositivos de fiação";"273";"Fabricação de fiação e dispositivos de fiação";"Manufacture of wiring and wiring devices";"Fabricação de fiação e dispositivos de fiação";"27";"Fabricação de equipamentos elétricos";"Manufacture of electrical equipment";"Fabricação de equipamentos elétricos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2732";"Fabricação de outros fios e cabos elétricos e eletrônicos";"Manufacture of other electronic and electric wires and cables";"Fabricação de outros fios e cabos elétricos e eletrônicos";"273";"Fabricação de fiação e dispositivos de fiação";"Manufacture of wiring and wiring devices";"Fabricação de fiação e dispositivos de fiação";"27";"Fabricação de equipamentos elétricos";"Manufacture of electrical equipment";"Fabricação de equipamentos elétricos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2731";"Fabricação de cabos de fibra ótica";"Manufacture of fibre optic cables";"Fabricação de cabos de fibra ótica";"273";"Fabricação de fiação e dispositivos de fiação";"Manufacture of wiring and wiring devices";"Fabricação de fiação e dispositivos de fiação";"27";"Fabricação de equipamentos elétricos";"Manufacture of electrical equipment";"Fabricação de equipamentos elétricos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"3012";"Construção de barcos de recreio e desportivos";"Building of pleasure and sporting boats";"Construção de barcos de recreio e desportivos";"301";"Construção de navios e barcos";"Building of ships and boats";"Construção de navios e barcos";"30";"Fabricação de outro equipamento de transporte";"Manufacture of other transport equipment";"Fabricação de outro equipamento de transporte";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"3011";"Construção de navios e estruturas flutuantes";"Building of ships and floating structures";"Construção de navios e estruturas flutuantes";"301";"Construção de navios e barcos";"Building of ships and boats";"Construção de navios e barcos";"30";"Fabricação de outro equipamento de transporte";"Manufacture of other transport equipment";"Fabricação de outro equipamento de transporte";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
